exp_id,date,git_hash,model,features,total_score,one_minus_nmae,ficr,nmae_g1,nmae_g2,nmae_g3,ficr_g1,ficr_g2,ficr_g3,val_period,fit_seconds,public_score,note
exp001,2026-07-27,ed453f7(dirty),lightgbm_l1,v1_179feat,0.607436,0.868979,0.345893,0.123563,0.122647,0.146852,0.345041,0.427062,0.265574,2024-01-01~2024-12-31,23.4,,모델 선택 실험
exp002,2026-07-27,ed453f7(dirty),xgboost_l1,v1_179feat,0.604894,0.868897,0.34089,0.124265,0.123927,0.145115,0.340359,0.413217,0.269094,2024-01-01~2024-12-31,15.5,,모델 선택 실험
exp003,2026-07-27,ed453f7(dirty),catboost_mae,v1_179feat,0.60164,0.868027,0.335253,0.12511,0.125093,0.145717,0.331982,0.406643,0.267133,2024-01-01~2024-12-31,85.7,,모델 선택 실험
exp004,2026-07-27,ed453f7(dirty),lightgbm_residual,v1_179feat,0.599552,0.86663,0.332474,0.124716,0.124898,0.150495,0.338465,0.411358,0.247599,2024-01-01~2024-12-31,34.9,,모델 선택 실험
exp005,2026-07-27,ed453f7(dirty),lightgbm_l2,v1_179feat,0.596887,0.86789,0.325885,0.122937,0.122035,0.151359,0.343152,0.378515,0.255986,2024-01-01~2024-12-31,7.2,,모델 선택 실험
exp006,2026-07-27,ed453f7(dirty),ridge,v1_179feat,0.592596,0.868754,0.316438,0.125595,0.125202,0.142941,0.30925,0.374042,0.266022,2024-01-01~2024-12-31,0.4,,모델 선택 실험
exp007,2026-07-27,ed453f7(dirty),baseline_pc_pred,v1_179feat,0.571717,0.84366,0.299773,0.151752,0.15517,0.162096,0.29275,0.355819,0.25075,2024-01-01~2024-12-31,0.0,,모델 선택 실험
exp008,2026-07-27,ed453f7(dirty),baseline_pc_pred_rho,v1_179feat,0.560099,0.838922,0.281275,0.158147,0.158411,0.166676,0.271592,0.336644,0.23559,2024-01-01~2024-12-31,0.0,,모델 선택 실험
exp009,2026-07-27,ed453f7(dirty),B_decision_theoretic,v1_179feat,0.631487,0.865285,0.397689,0.124965,0.134383,0.144797,0.409297,0.46553,0.318239,2024-01-01~2024-12-31,,,[CV 0.6052] 분위수 10개 -> 기대점수 최대화 점예측
exp010,2026-07-27,ed453f7(dirty),C_optuna_tuned,v1_179feat,0.631475,0.862561,0.400389,0.13256,0.127996,0.151762,0.43205,0.447243,0.321873,2024-01-01~2024-12-31,,,"[CV 0.6084] Optuna 20회/그룹, 목적=폴드평균 group_score"
exp011,2026-07-27,ed453f7(dirty),A_metric_aware_tau,v1_179feat,0.630751,0.863555,0.397948,0.135236,0.126494,0.147607,0.42186,0.455855,0.316129,2024-01-01~2024-12-31,,,"[CV 0.6059] 채점행=all, actual가중=True, 그룹별 tau=0.70/0.50/0.65"
exp012,2026-07-27,ed453f7(dirty),lightgbm_l1_baseline,v1_179feat,0.60739,0.868834,0.345947,0.123595,0.123052,0.146851,0.34689,0.425582,0.265368,2024-01-01~2024-12-31,,,[CV 0.5753] 튜닝 재현(기준선)
